ID;Severidad_accidente;Numero_vehiculos;Numero_victimas;Dia_semana;Tipo_via;Limite_velocidad;Iluminacion;Clima;Condicion_via;Condiciones especiales;Tipo_area
201131A197011;Fatal;1;2;7;Calzada;60;Oscuridad con luces encendidas;Bueno;Seca;No;Urbano
20083108B1011;Fatal;1;1;2;Calzada;60;Luz_dia;Bueno;Seca;No;Rural
201243P199012;Fatal;2;3;3;Autovia;70;Oscuridad sin iluminacion;Bueno;Humeda;No;Rural
200634WN08016;Fatal;1;1;6;Calzada;40;Luz_dia;Bueno;Seca;No;Urbano
200722CA86641;Fatal;3;1;3;Calzada;50;Oscuridad sin iluminacion;Bueno;Seca;No;Rural
201101TD00060;Fatal;2;1;3;Calzada;30;Luz_dia;Bueno;Seca;No;Urbano
200897QD02607;Fatal;1;1;6;Autovia;30;Luz_dia;Bueno;Seca;No;Urbano
200801SX70318;Fatal;2;4;7;Autovia;70;Oscuridad con luces encendidas;Bueno;Seca;Si;Urbano
200543N001015;Fatal;1;1;1;Calzada;60;0;Niebla;Seca;No;Rural
20053102D1780;Fatal;1;4;1;Calzada;60;Oscuridad sin iluminacion;Bueno;Humeda;No;Rural
20083102P2841;Fatal;1;1;4;Autovia;70;Oscuridad con luces encendidas;;Humeda;Si;Rural
20144100J0227;Fatal;1;1;2;Calzada;30;Luz_dia;Bueno;Seca;No;Urbano
201434TE80154;Fatal;1;1;7;Rotonda;70;Oscuridad con luces encendidas;Nieve y ventoso;Humeda;No;Rural
201411SA15134;Fatal;2;1;1;Calzada;60;Luz_dia;Bueno;Seca;No;Rural
201142I112604;Fatal;1;1;3;Calzada;30;Oscuridad con luces encendidas;Bueno;Seca;No;Rural
201401TD00137;Fatal;1;1;6;Calzada;30;Oscuridad con luces encendidas;Bueno;Humeda;No;Urbano
201006K029025;Fatal;2;2;6;Calzada;60;Oscuridad sin iluminacion;Lluvioso;Humeda;No;Rural
201105FF01391;Fatal;2;3;5;Calzada;30;Luz_dia;Bueno;Seca;No;Urbano
200505BS01428;Fatal;1;1;4;Carretera acceso;70;Oscuridad con luces encendidas;Bueno;Humeda;Si;Rural
200650F52C761;Fatal;1;3;4;Autovia;70;Oscuridad sin iluminacion;Lluvioso;Humeda;No;Rural
200742I227906;Fatal;2;3;7;Calzada;60;Luz_dia;Bueno;Humeda;Si;Rural
200663DP21806;Fatal;2;3;1;Calzada;60;Luz_dia;Bueno;Seca;No;Rural
201306M071494;Fatal;1;1;2;Calzada;30;Oscuridad con luces encendidas;Bueno;Seca;No;Urbano
201101TD00213;Fatal;1;1;2;Autovia;70;Oscuridad con luces encendidas;Bueno;Seca;No;Rural
200611AB19870;Fatal;1;1;6;Calzada;60;Luz_dia;Lluvioso;Humeda;No;Rural
200545EL77996;Fatal;2;1;6;Calzada;30;Luz_dia;Niebla;Seca;No;Urbano
200743R001037;Fatal;1;1;6;Calzada;60;Oscuridad sin iluminacion;Lluvioso;Humeda;No;Rural
200542D004302;Fatal;1;1;6;Calzada;30;Luz_dia;Bueno;Seca;No;Urbano
201250AC3J024;Fatal;2;2;2;Autovia;70;Oscuridad sin iluminacion;Ventoso;Humeda;No;Rural
2014131BJ0512;Fatal;1;1;4;;0;Luz_dia;Bueno;Seca;No;Urbano
200742I498912;Fatal;1;1;3;Carretera acceso;70;Luz_dia;Bueno;Seca;No;Urbano
200850BL2K061;Fatal;1;2;1;Autovia;70;Oscuridad sin iluminacion;Bueno;Seca;No;Rural
201001TB00027;Fatal;1;1;1;Calzada;30;Luz_dia;Lluvioso;Humeda;No;Urbano
200754EV14307;Fatal;4;2;4;Calzada;60;Luz_dia;Bueno;Seca;No;Rural
20141315V0258;Fatal;1;1;7;Calzada;30;Oscuridad con luces encendidas;Bueno;Seca;No;Rural
20073104C2783;Fatal;4;2;6;Calzada;30;Luz_dia;Bueno;Seca;No;Urbano
200763AC53407;Fatal;2;1;1;Calzada;60;Oscuridad sin iluminacion;Bueno;Seca;No;Rural
200532D505005;Fatal;4;2;4;Calzada;60;Luz_dia;Bueno;Seca;No;Rural
200901TC00034;Fatal;1;1;6;Calzada;30;Luz_dia;Bueno;Seca;No;Urbano
201050KT2M008;Fatal;2;1;7;Autovia;40;Luz_dia;Bueno;Seca;No;Rural
2010400D03127;Fatal;2;1;3;Calzada;30;Luz_dia;Bueno;Humeda;No;Rural
201143N007091;Fatal;3;3;2;Autovia;70;Oscuridad sin iluminacion;Bueno;Seca;No;Rural
200914A118709;Fatal;1;1;6;Calzada;30;Luz_dia;Bueno;Humeda;No;Rural
200605DD05016;Fatal;2;2;7;Calzada;30;Oscuridad con luces encendidas;Lluvioso;Humeda;No;Urbano
200743S001017;Fatal;1;3;2;Autovia;70;Oscuridad con luces encendidas;Bueno;Humeda;No;Urbano
200750A51B356;Fatal;4;5.78;4;Calzada;60;Luz_dia;Bueno;Humeda;No;Rural
200543W397035;Fatal;3;3;4;Calzada;60;Luz_dia;Lluvioso;Humeda;No;Rural
2005170M12195;Fatal;2;3;5;Calzada;30;Luz_dia;Bueno;Seca;No;Urbano
200637B026755;Fatal;1;1;1;Rotonda;70;Oscuridad con luces apagadas;Bueno;Humeda;No;Rural
201142I032402;Fatal;1;4;2;Un solo sentido;30;Luz_dia;Bueno;Seca;No;Urbano
201234TD80202;Fatal;2;5;7;Calzada;60;Luz_dia;Bueno;Seca;No;Rural
201222C202402;Fatal;2;1;6;Calzada;60;Luz_dia;Bueno;Humeda;No;Urbano
201243W158092;Fatal;1;1;7;Calzada;30;Oscuridad con luces encendidas;Bueno;Seca;No;Urbano
200701TD00059;Fatal;1;2;6;Calzada;30;Luz_dia;Lluvioso;Humeda;No;Urbano
200522FD44263;Fatal;1;1;7;Calzada;60;Oscuridad sin iluminacion;Bueno;Seca;No;Rural
201150JT2V016;Fatal;2;3;7;Calzada;30;Luz_dia;Bueno;Seca;No;Urbano
200620D313302;Fatal;1;1;6;Calzada;30;Oscuridad con luces encendidas;Lluvioso;Humeda;No;Urbano
200801CW73971;Fatal;1;1;3;Autovia;30;Luz_dia;Bueno;Seca;No;Urbano
2011160C06291;Fatal;2;2;2;Calzada;60;Luz_dia;Bueno;Seca;No;Rural
2013160C02081;Fatal;3;2;7;Calzada;50;Oscuridad sin iluminacion;Bueno;Seca;No;Rural
201205EE01290;Fatal;1;1;6;Calzada;40;Oscuridad con luces encendidas;Lluvioso;Humeda;No;Urbano
200537B022832;Fatal;2;1;3;Calzada;60;Luz_dia;Bueno;Seca;No;Rural
200530C000176;Fatal;1;1;5;Calzada;30;Luz_dia;Bueno;Seca;No;Urbano
200811ND14648;Fatal;1;1;1;Autovia;70;Luz_dia;Bueno;Humeda;No;Rural
201220J011502;Fatal;2;1;5;Autovia;40;Luz_dia;Bueno;Seca;No;Urbano
201343R205043;Fatal;2;2;1;Calzada;60;Luz_dia;Bueno;Seca;No;Rural
201397GD00109;Fatal;2;4;1;Calzada;30;Luz_dia;Bueno;Seca;No;Urbano
200534TM08516;Fatal;1;5;1;Autovia;70;Luz_dia;Bueno;Seca;No;Rural
200850GA2C001;Fatal;1;1;1;Calzada;30;Oscuridad con luces encendidas;Bueno;Seca;No;Rural
